[HOST]irc.choopa.net                                    [STATUS]ERROR :Closing Link: edwardsnowden2.torservers.net (*** Banned )
[HOST]port80a.se.quakenet.org                           [STATUS]OK
[HOST]euroserv.fr.quakenet.org                          [STATUS]OK
[HOST]dreamhack.se.quakenet.org                         [STATUS]OK
[HOST]irc.degunino.net                                  [STATUS]OK
[HOST]nightmare.darkspirit.org                          [STATUS]OK
[HOST]karnak.aureaworld.org                             [STATUS]OK
[HOST]dungeon.axenet.org                                [STATUS]OK
[HOST]ai.irc.mufhd0.net                                 [STATUS]connection refused
[HOST]irc.durd.net                                      [STATUS]ERROR :Closing Link: tor_checker[edwardsnowden2.torservers.net] (User has been permanently banned from BoredIRC (no reason))
[HOST]bravo.invictachat.net                             [STATUS]ERROR :Closing Link: tor_checker by bravo.invictachat.net (G-lined (<Jobe> No authorization has been given for 'tor_checker' to check this network.))
[HOST]7ter-himmel-irc.net                               [STATUS]OK
[HOST]irc.a1-chat.de                                    [STATUS]host unreachable
[HOST]adams.freenode.net                                [STATUS]ERROR :Closing Link: 192.42.115.101 (*** Banned )
[HOST]irc.p2p-network.net                               [STATUS]OK
[HOST]irc.ircnet.ru                                     [STATUS]Broken pipe - send(2)
[HOST]ircnet.bsim.ru                                    [STATUS]ERROR :Closing Link: tor_checker[0.0.0.0] (G-lined)
[HOST]irc.qwertylife.ru                                 [STATUS]ERROR :Closing Link: tor_checker[0.0.0.0] (G-lined)
[HOST]irc.egghelp.ru                                    [STATUS]ERROR :Closing Link: tor_checker[0.0.0.0] (G-lined)
[HOST]irc.qwertylife.ru                                 [STATUS]ERROR :Closing Link: tor_checker[0.0.0.0] (G-lined)
[HOST]irc.dim.st                                        [STATUS]ERROR :Closing Link: tor_checker[192.42.115.101] (Z:lined (Доступ запрещен (Access denied)))
[HOST]nkoort.ru                                         [STATUS]OK
[HOST]irc.zeg.ru                                        [STATUS]connection refused
[HOST]dostlar.uz                                        [STATUS]host unreachable
[HOST]dreamterra.net                                    [STATUS]ERROR :Closing Link: tor_checker[109.201.133.100] (Z:lined (Доступ запрещен (Access denied)) Email\visit http://dreamterra.net/Bans for more information.)
[HOST]ircnet.eversible.com                              [STATUS]ERROR :Closing Link: tor_checker[~blah@109.201.133.100] (Kill line active: TOR Exit Node)
[HOST]irc.wenet.ru                                      [STATUS]OK
[HOST]irc.visp.ru                                       [STATUS]OK
[HOST]ht5tdqo7hlyswrg6.onion                            [STATUS]OK
